siteid,Name,month,year,years_fire,pre_post_fire,burned,closed_ever,tot_vis,closed_month,d2p
CRG_007,Tanner Butte,6,2017,-1,pre,yes,yes,342,open,2017-06-15
CRG_007,Tanner Butte,6,2018,0,post,yes,yes,0,closed,2018-06-15
CRG_007,Tanner Butte,6,2019,1,post,yes,yes,0,closed,2019-06-15
CRG_007,Tanner Butte,7,2015,-3,pre,yes,yes,385,open,2015-07-15
CRG_007,Tanner Butte,7,2016,-2,pre,yes,yes,316,open,2016-07-15
CRG_007,Tanner Butte,7,2017,-1,pre,yes,yes,157,open,2017-07-15
CRG_007,Tanner Butte,7,2018,0,post,yes,yes,0,closed,2018-07-15
CRG_007,Tanner Butte,7,2019,1,post,yes,yes,0,closed,2019-07-15
CRG_007,Tanner Butte,8,2015,-3,pre,yes,yes,182,open,2015-08-15
CRG_007,Tanner Butte,8,2016,-2,pre,yes,yes,422,open,2016-08-15
CRG_007,Tanner Butte,8,2017,-1,pre,yes,yes,119,open,2017-08-15
CRG_007,Tanner Butte,8,2018,0,post,yes,yes,0,closed,2018-08-15
CRG_007,Tanner Butte,8,2019,1,post,yes,yes,0,closed,2019-08-15
CRG_007,Tanner Butte,9,2014,-3,pre,yes,yes,108,open,2014-09-15
CRG_007,Tanner Butte,9,2015,-2,pre,yes,yes,160,open,2015-09-15
CRG_007,Tanner Butte,9,2016,-2,pre,yes,yes,59,open,2016-09-15
CRG_007,Tanner Butte,9,2016,-1,pre,yes,yes,145,open,2016-09-15
CRG_007,Tanner Butte,9,2017,0,post,yes,yes,0,closed,2017-09-15
CRG_007,Tanner Butte,9,2018,1,post,yes,yes,0,closed,2018-09-15
CRG_007,Tanner Butte,10,2014,-3,pre,yes,yes,80,open,2014-10-15
CRG_007,Tanner Butte,10,2015,-2,pre,yes,yes,98,open,2015-10-15
CRG_007,Tanner Butte,10,2016,-1,pre,yes,yes,79,open,2016-10-15
CRG_007,Tanner Butte,10,2017,0,post,yes,yes,0,closed,2017-10-15
